HR,Name,DM,glon,glat,vmag,spectype,parallax,Dmag,Sep,,
2159,67Nu  Ori,BD+14 1152,194.81,-2.72,4.42,B3V,-0.032,,,,-31.25
1178,27    Tau,BD+23  557,167.01,-23.23,3.63,B8III,-0.026,1.5,0,,-38.46153846
519,,CD-51  419,282.92,-64.14,5.49,M3III,-0.023,,,,-43.47826087
2834,,CD-31 4482,244.92,-7.52,5.35,G8II,-0.021,2.1,99.2,,-47.61904762
6984,,BD+34 3245,63.04,18.05,6.1,B5Vne,-0.021,,0.2,,-47.61904762
602,Chi Phe,CD-45  659,268.87,-67.48,5.14,K5III,-0.019,,,,-52.63157895
6735,,BD+75  647,106.32,29.79,6.36,K0,-0.019,,,,-52.63157895
8702,,BD+82  703,119.16,21.21,4.74,K3III,-0.018,4.7,3.5,,-55.55555556
1038,2Xi  Tau,BD+09  439,174.01,-37.25,3.74,B9Vn,-0.017,,,,-58.82352941
419,,BD+02  211,139.88,-58.16,6.58,B9V+A8V,-0.016,2.5,6,,-62.5
1811,30Psi2Ori,BD+02  962,200.09,-17.22,4.59,B2IV,-0.016,5.6,2.7,,-62.5
37,,BD-18   14,76.32,-77.1,5.25,K5III,-0.015,,,,-66.66666667
2683,,CP-56 1232,267.11,-20.73,5.17,A0pSi,-0.015,,,,-66.66666667
8171,6    Cep,BD+64 1527,102.74,10.69,5.18,B3IVe,-0.015,,,,-66.66666667
105,Eta Scl,CD-33  152,342.36,-82.23,4.81,M4III,-0.014,,,,-71.42857143
1464,52Ups2Eri,CD-30 1901,231.01,-41.31,3.82,G8IIIa,-0.014,,,,-71.42857143
2652,,CD-51 2224,261.54,-19.48,5.14,M1III,-0.014,,,,-71.42857143
3995,,CP-65 1248,287.29,-8.02,5.28,K0III,-0.014,4.2,63.3,,-71.42857143
4452,,BD+37 2195,177.5,70.98,6.4,K0III,-0.014,,,,-71.42857143
6537,1Sig Ara,CD-4611661,343.98,-7.58,4.59,A0V,-0.014,,,,-71.42857143
1003,16Tau4Eri,BD-22  584,212.09,-56,3.69,M3.5IIIaCa-1,-0.013,6.2,5.5,,-76.92307692
2549,,CD-34 3140,244.21,-15.02,4.99,K5III,-0.013,,,,-76.92307692
7458,,BD+20 4200,56.07,-0.29,7.14,F2-F8Iab,-0.013,,,,-76.92307692
8621,,BD+56 2821,105.48,-1.51,5.21,M4+III,-0.013,5.2,30.9,,-76.92307692
408,,CD-42  493,279.66,-74.1,5.42,K0III,-0.012,,,,-83.33333333
565,56    Cet,CD-23  721,199.22,-74.52,4.85,K4III,-0.012,,,,-83.33333333
1066,5    Tau,BD+12  486,172.07,-34.32,4.11,K0II-IIIFe-0.5,-0.012,2,0,,-83.33333333
1180,28    Tau,BD+23  558,166.96,-23.17,5.09,B8Vpe,-0.012,,,,-83.33333333
4110,,CP-57 3256,284.59,0.01,4.66,A9Ia,-0.012,,,,-83.33333333
6159,29    Her,BD+11 3008,27.46,35.97,4.84,K7III,-0.012,,,,-83.33333333
8010,,BD+03 4461,52.58,-24.94,6.05,G6III-IV,-0.012,1.4,2.1,,-83.33333333
2087,Xi  Col,CD-37 2487,243.07,-26.53,4.97,K1III,-0.011,,,,-90.90909091
2693,25Del CMa,CD-26 3916,238.42,-8.27,1.84,F8Ia,-0.011,,,,-90.90909091
3187,,CD-44 4051,260.77,-7.01,5.05,K3III,-0.011,,,,-90.90909091
1698,17Rho Ori,BD+02  888,198.52,-20.27,4.46,K0.5III,-0.01,3.9,6.9,,-100
6787,102    Her,BD+20 3674,47.42,18.42,4.36,B2IV,-0.01,7.9,23.4,,-100
7518,,BD+28 3460,64.76,2.51,6.82,F2I,-0.01,,,,-100
8204,34Zet Cap,BD-2215388,26.98,-43.59,3.74,G4Ib,-0.01,8.6,21.3,,-100
8642,,BD+13 4974,81.92,-37.83,5.9,gK0,-0.01,,,,-100
1437,45    Eri,BD-00  713,195.34,-30.63,4.91,K3II-III,-0.009,,,,-111.1111111
3173,27    Lyn,BD+51 1391,167.19,32.65,4.84,A2V,-0.009,7.1,45.6,,-111.1111111
3291,,CD-25 5988,246.77,6.16,5.9,F3Ib,-0.009,0.1,0.1,,-111.1111111
6033,16    Sco,BD-08 4180,3.92,29.73,5.43,A4V,-0.009,,,,-111.1111111
6606,,BD+72  800,103.38,31.35,5.86,G9III,-0.009,,,,-111.1111111
7985,5    Aqr,BD-06 5606,42.35,-29.28,5.55,B9III,-0.009,,,,-111.1111111
8406,14    Cep,BD+57 2441,102.01,2.18,5.56,O9Vn,-0.009,,,,-111.1111111
8982,104    Aqr,BD-18 6358,59.4,-71.44,4.82,G0Ib-II,-0.009,2.8,120.1,,-111.1111111
999,,BD+28  516,158.14,-23.46,4.47,K2II-III,-0.008,,,,-125
1393,43    Eri,CD-34 1664,235.17,-44.23,3.96,K4III,-0.008,,,,-125
1467,3    Cam,BD+52  865,153.32,4.26,5.05,K0III,-0.008,7,3.8,,-125
1877,,CD-38 2085,243.44,-31.2,5.48,K2III,-0.008,,,,-125
4063,,CP-54 3474,282.28,1.64,4.57,K3II,-0.008,,,,-125
4127,46    Leo,BD+14 2255,227.68,55.08,5.46,M1.5IIIbCa-1,-0.008,,,,-125
7184,,BD+58 1849,88.33,22.04,6.46,A2IV,-0.008,0.2,0.8,,-125
7387,32Nu  Aql,BD+00 4206,37.26,-7.64,4.66,F2Ib,-0.008,4.2,201,,-125
7508,,BD+26 3654,62.82,1.61,6.28,B7V+G1:III,-0.008,1.5,0.4,,-125
7789,25    Vul,BD+23 3986,65.09,-7.09,5.54,B8IIIne,-0.008,,,,-125
7932,,BD+35 4234,76.87,-4.26,6.47,F7Ib-G8Ib,-0.008,,,,-125
8279,9    Cep,BD+61 2169,102.27,7.25,4.73,B2Ib,-0.008,,,,-125
885,,BD+46  669,144.44,-10.22,5.47,G5:III*,-0.007,,,,-142.8571429
5966,5    Her,BD+18 3101,31.2,45.44,5.12,G8IIIbFe-0.5,-0.007,,,,-142.8571429
7165,,BD+17 3799,49.21,6.36,5.38,F8Ib,-0.007,5.3,6.6,,-142.8571429
